filename,text,label
subject233,"Hola encantada soy Ana , algún gimnasio que me aconsejeis zona Atocha ? Gracias Yo con una cadena de esas que son baratas me valen Y si alguien sabe de una dieta porfa que me la pase Para cojer un poco de peso Peso 50 kg y mido 1 ' 65 Yo acabo de venir del gim , me apuntado aquí hoy a sido mi primera clase Yo no sé si esque es porque soy novata o porque me quedaban las mallas muy ajustadas y la mayoría de los chicos mirándome mono con los ojos tapados Jaja me lo creo cara sonriendo con sudor frío También había algún chico en mallas y a ver es inevitable mirar Jalón ? Que es eso ? Jaja te avia leído mal te había entendido Jalón de pene falso cara llorando de risa cara llorando de risa Si aver eso me pasa a mí con las mallas se meten para dentro mono con los ojos tapados Eso me a pasado a mí al ponermelas parece que no llevas nada Jaja , la verdad que me da igual que me miren pero me da un poco de corte el pensar que que pensarán cuando me miran será porque acabo de empezar Yo soy rubia con ojos azules delgada peso solo 50 kg Por eso me gustaría cojer un poco de peso pero bien cojido No tengo tripa ni nada es más siempre me an dicho que si hago deporte y lo único que e echo de pequeña jugar al tenis ahora tengo 30 , pero quiero coger algo de peso que me cuesta cojerlo Jaja y se trasparentaria y todo mono con los ojos tapados Aver entre ayer al grupo Y curro 10 horas diarias 🤷‍♀ Ojalá entre hace 2 meses y encima a turno partido De verdad ? Y a un turno ? Jope si te enteras de algo porfa dimelo Buaa , soy de Rivas Vaciamadrid ( Madrid ) Me iría a Galicia la verdad Joer te voy a dar mi currículum y si me encuentras algo me voy fijo Te importaria si te mando mi currículum mañana ? manos en oración No me importaría cambiar de zona Mojacar e estado de vacaciones También Galicia con estos paisajes , naturaleza pura Si eso sí , pero creo q es calidad de vida no ? Mojacar no es muy solitario en invierno . ",0
subject225,"Señores la eterna pregunta O cuál es la más barata ahora jajaja de proteínas Que proteína diría que es la de mayor calidad de hsn ? Que diferencia hay entre las 2 ? Siempre cogí esa pero parece que está cara ahora no Muy cara pero bueno es la que siempre use la evowhey 2.0 Pillare los 500g a 20 € que remedio Y compañeres cara al revés Me refiero alguien que vaya a entrenar a clases de boxeo mínimo 3 días a la semana Para combinar con el gym La idea sería ir 3 días al gym junto con los 3 días que voy a boxeo No me gusta nada esa rutina Creo que la mejor así para 3 días es la mítica weider no ? La idea es 2 músculos por día . Así en 3 días hago todos los grupos musculares no ? La idea es eso lunes miércoles y viernes boxeo y martes jueves y sábado gym Se puede hacer una rutina de 2 días que lo toque todo ? Si ya se que es difícil o imposible Pero es eso voy 4 días a boxeo y quiero cogerme los miércoles y sábado pra entrenar en el gym Ya la verdad que sería lo suyo pero nose cómo organizarme Ya pero mi gym no habré los domingos cara sonriente con lágrima Que dices de días de partido Priorizo el boxeo por eso nose donde meter días de gym No voy a contestar tonterías , que tienes 13 años ? Eso hacía antes día de pierna y torso aunque me era aburrido pero era el único que podía hacer por tener tan pocos días para entrenar Muchas gracias manos en oración tono de piel oscuro Estoy mirando entre full body o pierna torso la de empuje / tiron no había caído … la miraré Entrenar 4 días boxeo y 2 de gym manos levantadas celebrando tono de piel claro Si pero nose cómo hacerlo jaja Ya que curro por las mañanas y ala 6.30 es el entreno de boxing por la tarde No puedo luego del boxeo tengo que sacar la perra cenar y dormir que alas 5 de la a mañana en pie Ojalá tener más tiempo jajaj Un poquito de torso today bíceps flexionado tono de piel claro bíceps flexionado tono de piel claro mano con señal de victoria tono de piel claro Cuales dirías que son los embutidos que más proteína tienen Alguien usa beta alanina ? Estaba pensando en pillarla de cara para los entrenos de boxeo Actualmente estoy tomando creatina , que sería tomarla junto la creatina o en diferentes horas ? Nose siempre me ha parecido malillo personalmente Que luego sea bueno y tal pero nose no me molan Pues vaya había leído lo contrario jajaja Suficiente quemo ya con las sesiones de boxeo ya jaja Por probar algo nuevo Que haya gente que diga que esto es estético 🫠 nose rick … Con to los ciclos que llevan aparte Además no se pueden si arrascar la espalda ni atarse los cordones diría yo cara revolviéndose de la risa cara al revés Desde luego esos físicos sí que no Aparte de que es un físico 0 funcional Bueno si pra mover peso Cmo mulas de carga funcionarán bien ",0
subject18,"Holaa me llamo maria y soy ana ( pronto tambien mia ) peso 69 y el peso meta es 50 , edad 15 también mido eso , pero soy mas gorda cara desanimada graciaas dos corazones asi me siento yo , y algunas veces me lo digo para motivarme si para que no lo tomen a mal :( hay que motivarnos todes para que lo consigamos espero poder ser asi de perfecta :( dos corazones dos corazones podrias hacerlo por instagram , como historia solo que la descargas y no la subes , em no se si me explico : % si pero te lo guarda como video o gif una cosa asi una vez lo hice por eso y siempre edito mis fotos por insta cara desanimada ",1
subject209,"Cuando cenas al fresco las ves cazando misquitos en el techo , molan un huevo jaja y el gato debajo esperando a que caiga alguna cara llorando de risa cara llorando de risa Eso lo hago con el dedo cara llorando de risa Jajaja el día que te despiertes y veas una en el techo te vas a reír Cómo me he criado en el campo los animales los veo normales jajaja Si jajaja a comerse las gallinas las muy cabronas Dioooos ... Jajajajaja eso es una putada En Foster's mató yo de vez en cuando jaja Bueno he trabajado allí Kaske esas hay uqe probarlas algún día todos los restaurantes tienen Crujen como las chips Yo igual jaja y las sobras se las ha comido este 72 kilos de puro amor Que preciosidad cara sonriendo con ojos de corazón Yo lo tengo grande por los ladrones jajaja Al cabron lo tengo adiestrado , solo come comida que le damos nosotros En mi zona son muy de envenenar perros y entrar a las casa Los pequeños son los que las avisan jajaja Mi perro lo han enseñado a correr hacia ti y placarte mientras te tira el mordisco ... Son 72 kilos jajaja puedes hacerte una idea Pero le tengo un seguro por si pasa algo Que el ladrón después me denuncie si vive claro Si voy por la calle con el ojo ... como me vea nervioso se pone a gruñir y todo cuando voy corriendo con el alguna vez me para la guardia civil por qué cuando corro lo llevo sin bozal por qué si muere jaja y cuando me paran y ven como actúa pasan En Alicante suelen militar por no llevar bozal los perros grandes Te lo dejo un mes si quieres jajaja Come 27kilos de pienso al mes el cabron Lo bueno de los perros pequeños Ni seguro ni nada jaja Igual que el mío , jaja solo actúa agresivo cuando me ve en peligro y muy nervioso hacia una persona Si mira como duerme Duerme con mi gato encima Estoy buscando la foto Mierda la he borrado Ese gato son 7kilos jaja se llama Batman Es súper largo jajajaja Entierro al ladrón en el huerto si hace falta jajjaa o lo sacrificó al ladrón cuando salga Parece un mini oso Interesante jaja de perros peques entiendo poco A mí es que me envenenaron a la hembra , las camadas se las llevaban las nacional y la civil Eso no lo he oído yo nunca jaja los buscaré Cómo mola jajajaja eso sí , los zurullo de mi perro son igual de grande que el galgo ese Que opináis del yoga por qué últimamente me he aficionando a hacerlo jaja Es que estoy haciendo pinos , y me falta flexibilidad y me está ayudando en hacer muchas transiciones como press a pino o ciertos ejercicios de ido portal Es que hago mucho entrenamiento funcional jaja Sobre todo animal moviment por los movimientos articulares , por qué son ejercicios que expones al cuerpo a un estrés muscular muy diferente Hacer esta rutina antes de hacer piernas jaja de complemento sirve que flipas , sobre todo para las sentadillas profundas Las aplicaciones del grupo , tipo Runtastic y demás jaja vienen con sobrepasa ? ? Por si alguien las ha probado antes saberlo ",0
subject120,"Este grupo es para presentar dudas de lo que sea que vean en el canal Depende las pastillas que sean tipo si son respetadas por un médico especializado . Serian esas pastillas del apetito puede que funcionen , a lo que voy depende de las pastillas por que no existen productos que te adelgace por si solos , existen los que te quitan el apetito y tal pero eso solo se consiguen con reseta médica ya que se los da a personas con obesidad y tal Omega 3 es una simple vitamina que por si sola no te va hacer bajar de peso No se , depende de la cantidad que hagas Depende de la cantidad que le pongas Cuestiones personales cara feliz con ojos sonrientes corazón rojo Yo a la dieta la saque de otro grupo Este grupo es para preguntas , tenes razon Este grupo es para preguntas El oficial es otro Eres un pervertido infiltrado ? Si claro y yo nací ayer gil Pelo en los huevos ya tenes Cual el batido verde ? ? Puede tener apio pepino hasta lechuga busca en Internet y salen un monton Ya no hay grupo de WhatsApp Si en la foto no dice es que es una dieta nueva Jaja ya lo pase No jaja es un grupo al pedo El verdadero grupo no es este cara sonriendo con sudor frío corazón rojo El IMC es el conjunto de todo Si vos bajas de peso baja el IMC Tipo las calorias de la fruta Hay un monton de tips en el canal , anda a Los fields en el blog hay una categporia de caloria o tabla de alimentos tambien puedes descargarte una app para contar calorias saludos cada persona tiene requerimientos distintos pueden buscar recetas en mi blog o internert , saludos Una persona promedio requiere de unas 2500 a 3000 , es poco créeme la dieta que hice algunas son para reiniciar el ciclo de bajar de peso por ende las calorías aumentan y bajan de golpe , saludos En mi blog proseas encontrar más cositas capas te sirve La saque de internet no sabia q eras vos l a foto no tiene marca Todo lo saco de otros canales , Pinterest y Twitter Pero si es el procesado con azúcar agregado ya si Así es pero bueno la culpa es mía Es que planeo ayunar y cada vez que coma vomitar pero necesito consejos los que tengo en mi blog siento que mucho no me sirven por que son para personas que ya saben hacerlo Y como se si vomite todo ? Pero eso no significa que esta jodido el organismo ? No hay ningún código amor no se qué onda No doy trucos de ese tipo no estoy a favor de lo “ rápido “ En mi blog están Si un montón jaja Que bueno , espero que todo salga bien y te puedas recuperar ! ! ! Ve a un nutricionista No puedo administrarlos y son demasiados obvios para que los infiltrados se unan , ademas Telegram tiene más herramientas para ver quien está y eliminarlo si es inactivo bots entre otras cosas por ende si quiero hacer un grupo de whats tiene que ser muy peque así está bien controlado y tendría que tener 500 como para que todos estén y no quiero dejar a nadie a fuera Simple reducción de comidas con el tiempo Qué tipo de energizares ? ? ? gatetored y esos ? En Wattpad hay muchísimos busca anorexia o tca o Ana y mía y aparecen Hay amor probaste con ir a un nutrí ? Lo se pero si puedo ayudar en algo lo voy hacer Jajajaja bueno no lo sé pero por las dudas si puedo aportar algo lo hago Para eso voy a cerrar links por un tiempo . Está todo protegido tu tranquila ",1
subject34,"Buenas noches chicas soy Ana y mia mi peso actual es : 81 peso meta : 50 edad : 22 Buenos días chicas corazón rojo que tal habéis dormido ? voy a hacer deporte ahora a mi me gusta bailar nose es lo que más sirve , pero se me hace más ameno aunque también te digo que voy a empezar hoy a hacerlo de nuevo , lo deje durante mucho tiempo pues suelo bailar reggaeton , o bachata , o dembow algo así animado también intento ballet , muy entre comillas cara llorando de risa me lo suelo inventar si lo miro lo tengo que ir parando y así no ejército nada yo es más por lo que luego bailo en la discoteca cara llorando de risa eso me pasa a mi dios te puedo pasar un vídeo que flipas el otro día en la discoteca cara llorando de risa por aquí o por priv ? que va es mio grabado en eso tiene razón y te lo dice alguien que está metida hasta el cuello en eso que opinan de los batidos sustitutivos ? el que yo tomo para todo el día tiene 200 y el lo único que como eso me han dicho ... uwu Buenos días chicas cara lanzando un beso en eso tiene razón , yo intenté salir , pero siempre hay una voz en tu cabeza que te dice cosas nunca había podido describirlo mejor chicas necesito una opinión sincera porfavor mi mamá ayer me dijo que me pusiera un balón gastrico yo sé que no estoy delgada , pero ... osea si que me gustaría perder peso pero me parece mucho dinero solo que en la foto no se nota tanto según mi imc estoy en sobrepeso 2 o algo así nose ... pero me raya mucho aunque te aviso que sano no es dale al privado si quieres ahora te hablo yo ",1
subject177,"Y cuando me refiero al azúcar de fruta no me refiero a fructosa añadida aparte "" la fructosa tb está en otros alimentos que no son frutas "" me refiero al azúcar que ya tiene el tipo de fruta que se utilice Es de buena calidad Ah y sobre la canela no interfiere como podréis deducir por fin ya terminé este jodido video me ha costado horrores terminarlo por falta de tiempo pues tenía algo de reparo que no fuese demasiada chapa para un suplemento gracias me alegra mucho que te guste además que el colágeno el magnesio y si se le añade vitamina C hace que todavía sea más fácilmente absorbible ya sabéis cuando toméis colágeno siempre que sea con Vit C Toca pasar por la cocina y por qué crees que es a mi enfrentamientos no me mola que si alguien tiene dudas de lo que digo yo lo demuestro sin problemas a partir de la página 17 lo podéis comprobar bueno , vuelvo al redil de estudio nada Liz dale caña a esa tabla Los indios son la caña Ten ojo con los aductores suelen dar muchos problemas no dudes en ir a que te den un buen repaso , mientras haz ejercicios para el suelo pelvico . Te ayudará Lo que me flipan las torrijas Pero ahí faltan las de fumar Camela - Sueño contigo "" lo más motivante "" cuidado que luego se puede hipertrofiar yo prefiero hacerlas hasta que se caigan los brazos , tener hipoglucemias y romper la máquina del gimnasio a mi me pasó haciendo antebrazo una vez esta , es la teoría que más se acepta a día de hoy di que si ! la San Miguel que no falte las otras dos películas , tenían ritmo , gracia , y aunque habían momentos así un poco cuchi dramas , eran más pasables lo acabo de ver tiene pinta de divertida aunque lo han advertido Es más , intenta aplicar estos ejercicios que te voy a poner a esa máquina , serían derivados de bosu y otros A mi naturo me gustó , no sé cuántos años estuve leyendo el manga pero han sido unos cuantos , y conforme avanzaba me gustaba más cuando se me cierren los ojos vuelvo Un azúcar no deja de ser un azúcar , y lo que tapa no es la leche en sí , es que lleva una cantidad importante de azúcares y grasas , pero como alimento para cuadrar macros en dietas con gente que no tenga problemas a la lactosa y sabiendo integrarla bien no debe Ni debe de haber ningún tipo de problema con añadir leche y aún menos derivados de la leche ya que estos tienen componentes tan importantes como el calcio mucho más biodisponibles que la leche Todo tiene un contexto , y hay momentos en los que se necesitan azúcares con más IG y otros momentos con menos , pero no significa que por llevarlos sean malos eso fue en extremadura Pero pregúntate tb a ti mismo si has hecho algo para cambiar las cosas que no ves justas Por eso no prospera nada Porque tenemos reparos por lo que piensen ? Así que en vez de quejarnos , hay que ponerse manos a la obra para cambiarlo por eso le hice este vídeo pero Clarida no veo que lo tenga en la parte inferior del pecho lo explico en el vídeo Lo de Mens physique me parece casi igual que wellness o bikini estaban puntuando a gente muy musculada y ahora , ¡ zas ! ya es otro criterio así que mientras no clarifiquen eso , es una lotería en la normativa de classic tienen un margen dependiendo de la altura a más altura más margen de kg y si te fijas en el pesaje , ni siquiera le aprietan el pelo ",0
subject198,"Gracias ! ! cara feliz con ojos sonrientes Gracias , pero soy chico ^ ^ no pasa nada cara sonriendo con los ojos cerrados tengo intereses variados ^ ^ ... no tiene nada de malo verdad ? de hecho estoy buscando la forma de perder peso , ganar musculo , pero sin tener mucho musculo ... ganar fuerza . futbol . pero nada regular . antes hacia mas , ahora perdi el ritmo y bueno empese a subir de peso . eso quiero saber , que me convendria . por que no quiero tener mucho musculo . solo quiero mantenerme fuerte . estaba pensando en empezar a correr , me tengo que poner las pilas ... solo me da paja XD yo gano musculo facil por suerte . pero tambien subo de peso rapido ... comer bien no es mi fuerte . voy a buscar videos de rutinas cardio y pesas . Esta buena ... la uso para reemplazar la carne picada cara saboreando comida Si , pasa cara saboreando comida ",0
subject161,"La evolución de @USER bíceps flexionado tono de piel medio Es de hoy bíceps flexionado tono de piel medio Ese Atlético bueno bíceps flexionado tono de piel medio Su filosofía se puede aplicar a la vida misma Sigue mejorando día a día , y no te pongas fecha de salida , si el año que vienes te ves capacitado para salir sal bíceps flexionado tono de piel medio Esa viene después cuando empiezan ellos y no logran objetivos y ya dicen ese se pincha jajaja @USER eres tú ? Jajaja Yo que va xD Lo sigo y ya está jaja Verás como eso no lo sube El cambio de hora cara triste pero aliviada Si te la dan gratis si Si la vas a comprar al final te sale más caro Si es un pack pensado para eso para ir probando sabores Mirad este chaval 27 años Llegará lejos seguro ya es pro Pero no hablamos de química Un año de diferencia Pocos culturistas tienen este progreso A base de map No es droga jaja Es una locura si Pues solo a base de eso Eso lo hacia para entrar en la categoría mens phisique pro Pero vio que no es lo suyo y empezó a meterse de lleno en el culturismo Pero el progreso de un año a otro que ha conseguido pocos culturistas lo consiguen algunos se tiran años para llegar a ese nivel Yo no he dicho que llegase a ese nivel gracias a los map , ni que por los map dejase de usar química . Es obvio que lleva usando química desde hace muchos años Es de Suiza o Suecia Para mí el mejor y con mayor progresión es madelman Participar a ver si os lo lleváis alguno de vosotros bíceps flexionado tono de piel oscuro medio De pena cara revolviéndose de la risa Sin entrar en detalles de si la rutina es mejor o peor esa rutina puede servir para subir músculo y más si es principiante o está empezando después de un parón . Lo que tienes que hacer es llegar a tu superávit calorico para construir músculo Para entrar a valorar una rutina hay que ver muchas más cosas , es decir cuántos días puedes entrenar ? Pues eso es lo que tienes que valorar . Yo la rutina la veo muy básica a mí me gusta trabajar con más series . Prueba esa y al mes cambias La proteína mejor fría , a altas temperaturas cambia su estructura , a lo que se le llama desnaturalización proteica Si queréis saber más Pues lo básico tampoco hace falta que te vuelvas loco ... Usa mi código COMUNIDADFITNESS cara sacando la lengua y guiñando un ojo Y avena incluso puedes prescindir Si te gustan los copos de avena Si estás hablando de la creatina ninguna lleva edulcorante Eso te lo echas a la boca No sabe a nada La pasé yo hace meses pero la borro Julián Guárdala en el teléfono por si la borra otra vez cara revolviéndose de la risa No des explicaciones llevas aquí toda la vida y haces bien en no tener fotos Pues aquí ha pasado ya No era ni es un libro . Es un documento publico que lo puso su autor en su cuenta de Instagram para descargar de forma gratuita , el tema de los libros pienso como tú así evitas follones ya que tú eres el creador Aquí lo esperamos jaja Esta el ambiente cargado ",0
subject136,"Ya salí del otro grupo A bueno señal de aprobación con la mano no se mucho pero cualquier cosa te pregunto Para esta muy bien Ha Sofiiiii .. disculpa q ayer no pude agarrar el celular ... anduve todo el día laburando ... recién m recuperó de mi gripe ... pero igual entrene corazón con flecha dorso de mano con índice hacia arriba bíceps flexionado Vaaamosssss ! ! ! bíceps flexionado bíceps flexionado bíceps flexionado corazón con flecha manos aplaudiendo manos aplaudiendo manos aplaudiendo Ayer fue mi cumpleaños cañón de confeti ... y la pasé superrr divertido cara llorando de risa corazones giratorios ... re bien ... con la comida espectacular cara sonriendo con estrellas ... ni torta me hiseron jajaja ... pero a la noche cena con mi familia .. un pollito a la mostaza . al horno superrr Si pasa ... yo cuando estaba muy estricta solo me comía y turrón o un alfajor de arroz y con eso se me pasaba ... ahí te paso recetas muyy fáciles para q hagas y puedas salir de la ansiedad chispas No me deja la aplicación copiar el enlace no se xq .. así q te manos una foto para q lo busques si cara con ojos en blanco ay no ... tenés . Q tener tu botiquín de emergencia cara sonriendo con estrellas ... Y tens q tener guardado x ejm un turrón .. un alfajor de arroz , u chocolate negro sin azúcar q hay chico algo así q no tenga muchas cálorias na barra de cereal así podés comer eso y no cualquier cosa Jajaja está muy bueno manos aplaudiendo manos aplaudiendo manos aplaudiendo bíceps flexionado Hola buen día ! ! ! Acá bien ! ! ! Y voosss ? ? manos aplaudiendo manos aplaudiendo manos aplaudiendo bíceps flexionado señal de aprobación con la mano corazón latiendo Screenshot ( 4 sep . 2022 9:31 : 52 a . m . ) Eso es bíceps flexionado manos aplaudiendo manos aplaudiendo manos aplaudiendo Hola Gloria como estás ... Hola Neo ! ! ! Muy bienvenida cara sonriente Ayer no tuve tiempo y recién estoy mirando los mjs cara sonriendo con estrellas Neo te cuento q que yo hice el entrenamiento de Sebastian Sarmiento .. en marzo se hizo un año q empeze con 110 kg y llevo hasta hoy bajados 32 kg .. solo con los entrenamientos y comer sano reducir mis calorías .. aprendí de a poco a saber cómo comer y al ver mis avances me entusiasme casa vez más .. me esforse .. xq entendí q era lo único q me iba a ayudar a ver resultados ... te animo q q los hagas .. no es fácil .. porrr supuesto ! ! Pero vale la pena .. ahora estoy muy feliz de haberme comprometido conmigo misma a esforzarme xq x fin lo logré bíceps flexionado después de toooda la vida ser obesa xq fin pude ... gracias a Dios q me ayudó siempre al rodeo Sebastián a Yolanda y ai grupo q me ayudó siempre Les muestro lo q se puede mostrar cara con mano sobre la boca .. mis abdominales .. a los 55 años .. si yo pude seguramente cualquier persona lo va a poder hacer Yo tampoco cara llorando de risa Gracias cara sonriendo con ojos grandes dos corazones ! ! ! Hola buen día cara sonriendo con ojos grandes ! ! ! Acá todo bien ... ayer hice mi rutina de full body .. estuvo asii cara de grogui cara sonriendo con sudor frío Les cuento que no siempre me portó bien mono con los ojos tapados .. el finde me desbarranque ... comí facturas ( 2 no más cara sonriendo con estrellas ) pero comi empanadas de carne al horno .. 6 al medio día y 6 a la cena ... Pero al otro día emepse con mi rutina . bíceps flexionado O sea q aveces me voy del tema pero me di cu q después de una año y medio mi metabolismo cambio x completo Xxxx lo tanto no se me desanimen mis blancas palomitas ... si se puede ! ! ! cara sonriendo con ojos grandes cara sonriendo con corazones Espero q se reponga .. Tranquila ... se inteligente .. cómprate cosas con pocas calorías q te sacien .. mix de cereales ... alfajores de arroz ... una manzana ... 80 gs de pan negro ... 50 grs de queso port salut maso .. es x unos días hasta q estés otra vez en control Hola gloria querida . yo los tengo .. mñn te los paso Bravissimo manos aplaudiendo manos aplaudiendo manos aplaudiendo Buen día ! ! ! Disculpa q no estoy entrando al grupo ... acá tropezando un poco con mis ejercicios .. pero como dice el dicho .. rendirse jamás ! ! ! bíceps flexionado cara sonriendo con corazones Buen día equipo cara sonriendo con ojos grandes Capas estos días no pudimos ejercitarnos y seguir con nuestro objetivo ... pero ... mientras hay vida hay esperanza manos aplaudiendo manos aplaudiendo bíceps flexionado así q si hoy tenemos tiempo solo nos falta la disposición .. y eso es todo ! ! ! Así q ... adelante x los objetivos dos corazones manos aplaudiendo manos aplaudiendo manos aplaudiendo bíceps flexionado Yo ando haciendo los entrenamientos ... q puso Sebastián en Youtube .. sobre todos los q dicen para expertos ... y me están yendo muy bien ! ! ! Sobre todo esos q dice q se queman 700 calorías x entrenamiento cara gritando de miedo ! ! ! Saben lo que es eso ? ? ! ! ! Muchooo cara de grogui señal de aprobación con la mano ... caminar una hora con paso normal se queman 300 solamente .. estos entrenamientos no son difíciles y fijensen como se gastan las calorías y se queman grasas bíceps flexionado Xq estoy en los últimos kilos y me está costando bastante cara con el ceño ligeramente fruncido ... Hola gloria buen día ... en Youtube de Sebastián Sarmiento JS entrenador personal Hola Sofiiiii .. acá todo bien ! ! ! Y vos cómo estas Gracias ! ! ! Estos días ando a full con la ansiedad cara de grogui cara con el ceño ligeramente fruncido cara mareada ... pero me estoy esforzando para hacer mis rutinas ... Sebastián me dijo q tengo q entrenar en ayunas hacer cardio hitt y ser juiciosa con la alimentación cara sonriendo con estrellas cara llorando de risa ni q viviera en mi casa jajaja .. sabe todo lo q no ando haciendo cara con mano sobre la boca Pero le hice caso y entreno en ayunas .. cara de loco .. me costó al principio pero lo hice bíceps flexionado .. xq me faltan kilos x bajar todavía y no estaba progresando .. está semana baje 2 kg manos aplaudiendo manos aplaudiendo manos aplaudiendo .. así si funciona lo q dice Sebastián Hola gloria cara sonriente mano saludando Los ánimos en nosotros muchas veces hay q ayudarlos .. pensando positivamente q si podemos q si lo vamos a hacer hasta lograr xq eso es lo q que queremos y más si es para nuestro bien , pensando q es nuestra salud la q está en juego .. así q compañera a ponerle ganas al día .. y encomendarnos a las manos de Dios que siempre está para ayudarnos si confiamos en él .. un abrazo manos aplaudiendo manos aplaudiendo manos aplaudiendo es muy verdad Hola Sofi .. a mí no .. nadie mando mjs Buen día grupo ! ! ! Cómo están cara sonriendo con ojos grandes .. hace tanto tiempo que no nos hablamos q ya estoy pensando que les pasó .. o q me pasó a mí cara con mano sobre la boca cara llorando de risa ... hoy es un buen día para pensar en nuestro objetivo ! ! ! No sé desanimen .. fuerza .. nosotros podemos bíceps flexionado ... les prometo q en un año todo va a cambiar si se comprometen a ser constantes y fieles . A su objetivo ... después de un año seguido de ejercicio y cuidar la alimentación el metabolismo cambia manos aplaudiendo ... y ya es otra cosa lo de las ritinas y la alimentación .. se los digo xq a mi me pasó ... así q fuerza y adelante cara sonriendo con corazones .. un abrazo para tod @s Te entiendo Sofi ... de a poco y me alegro q puedas acompañar a tu mami Si si manos levantadas celebrando Buen día ! ! ! Vamos q hoy si se puede ! ! ! manos aplaudiendo manos aplaudiendo ",1
